entry_id,policy_id,country,region_scale,region,policy_type,policy_sub_type,policy_measure,policy_scope,target_region_scale,target_region,target_direction,compliance,enforcer,record_type,date_announce,date_start,date_end,date_end_type,event_description,source type,link,created_by,verified_by,verification_notes,verified_by_et,verification_notes_et,verification_status,verification_update
X1a,X1,China,national,China,Businesses,Business adaptations,L3 - Limiting numbers,markets,,,,mandatory,municipal_government,modification,2/15/2020,2/15/2020,3/21/2020,phase out,Markets are required to limit the number of customers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,,,,,
X1b,X1,China,national,China,Businesses,Business adaptations,L5 - Closing,entertainment,,,,mandatory,municipal_government,modification,2/15/2020,2/15/2020,2/25/2020,phase out,Entertainment areas are required to close,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,,,,,
X1c,X1,China,national,China,Businesses,Business adaptations,L4 - Modifying hours,sports,,,,mandatory,municipal_government,modification,2/15/2020,2/15/2020,2/25/2020,phase out,Sport areas are required to reduce time,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,,,,,
X1d,X1,China,national,China,Businesses,Business adaptations,L5 - Closing,restaurants,,,,mandatory,municipal_government,modification,2/15/2020,2/15/2020,2/25/2020,phase out,Restaurants are required to provide take-away service and online ordering only,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,,,,,
X2a,X2,China,national,China,Institutions,Institution adaptations,L1 - hygiene,social welfare,,,,mandatory,municipal_government,new,2/17/2020,2/17/2020,,,Pension institutions are required to regularly measure the body temperature of the aged,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647579.html,Xinyi,,,,,,
X3a,X3,China,municipal,Beijing,Institutions,Institution adaptations,L2 - Physical distancing,scenic spots,,,,mandatory,municipal_government,new,2/17/2020,2/17/2020,,,Parks are required to ensure the distance between tourists,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200217_1645695.html,Xinyi,,,,,,
X4a,X4,China,national,China,Domestic travel,Restricting entry into region,L2 - Restriction,migrant_workers,national,China,inbound,mandatory,national_government,new,2/19/2020,2/19/2020,2/25/2020,phase out,Transport departments are required to provide point-to-point transport services,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200312_1697994.html,Xinyi,,,,,,
X5a,X5,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,commercial,,,,recommanded,municipal_government,new,2/19/2020,2/19/2020,2/28/2020,phase out,Offices in construction site are required staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200220_1662759.html,Xinyi,,,,,,
X6a,X6,China,municipal,Beijing,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,recommended,municipal_government,modification,2/19/2020,2/19/2020,2/28/2020,phase out,Offices in Beijing are suggested staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672939.html,Xinyi,,,,,,
X7a,X7,China,national,China,Offices,Office adaptations,L4 - Modifying hours,all_offices,,,,mandatory,municipal_government,modification,2/22/2020,2/22/2020,2/25/2020,phase out,National corporations in China are required staggered work,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200222_1666359.html,Xinyi,,,,,,
